"filename", "language", "YAML", "PowerShell", "MS SQL", "Dart", "Markdown", "JSON", "Gradle", "JavaScript", "Swift", "Java Properties", "HTML", "XML", "C++", "Ruby", "TypeScript", "comment", "blank", "total"
"c:\maouidi 22\maouidi\lib\ui\login\login_model.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 33
"c:\maouidi 22\maouidi\lib\ui\login\login_widget.dart", "Dart", 0, 0, 0, 418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 435
"c:\maouidi 22\maouidi\lib\ui\user_profile\user_profile_model.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 57
"c:\maouidi 22\maouidi\lib\ui\user_profile\user_profile_widget.dart", "Dart", 0, 0, 0, 385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 405
"c:\maouidi 22\maouidi\lib\ui\welcome_screen\welcome_screen_model.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\maouidi 22\maouidi\lib\ui\welcome_screen\welcome_screen_widget.dart", "Dart", 0, 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 351
"c:\maouidi 22\maouidi\parse_errors.ps1", "PowerShell", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"c:\maouidi 22\maouidi\pubspec.yaml", "YAML", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 98
"c:\maouidi 22\maouidi\schema.sql", "MS SQL", 0, 0, 1211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 787, 2027
"c:\maouidi 22\maouidi\supabase\deno.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\maouidi 22\maouidi\supabase\functions\send-notification\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 5, 18, 155
"c:\maouidi 22\maouidi\test\widget_test.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 18
"c:\maouidi 22\maouidi\web\flutter_bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"c:\maouidi 22\maouidi\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 21, 65
"Total", "-", 110, 43, 1211, 17145, 7, 151, 138, 10, 32, 10, 594, 204, 1, 33, 132, 990, 2834, 23645
